101010,"average_overall","mm_fanout_external",0.15
101010,"average_overall","mm_tiobe_fanout",0.11
101010,"average_overall","avg_token_count",0.08
101010,"average_overall","max_func_cc",0.06
101010,"total_weighted_overall","min_token_count",0.21
101010,"total_weighted_overall","avg_func_cc_to_complexity_ratio",0.18
101010,"total_weighted_overall","mm_tiobe_fanout",0.16
101010,"total_weighted_overall","mm_fanout_external",0.12
101010,"lang_weighted_overall","mm_fanout_external",0.16
101010,"lang_weighted_overall","mm_tiobe_fanout",0.16
101010,"lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.15
101010,"lang_weighted_overall","min_token_count",0.12
101010,"lang_weighted_overall","avg_token_count",0.07
101010,"total_and_lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.2
101010,"total_and_lang_weighted_overall","mm_tiobe_fanout",0.19
101010,"total_and_lang_weighted_overall","min_token_count",0.17
101010,"total_and_lang_weighted_overall","mm_fanout_external",0.13
101010,"total_and_lang_weighted_overall","mm_comment_ratio",0.06
232323,"average_overall","avg_func_cc_to_complexity_ratio",0.24
232323,"average_overall","max_token_count",0.13
232323,"average_overall","avg_token_count",0.07
232323,"average_overall","max_func_cc_to_complexity_ratio",0.07
232323,"average_overall","min_token_count",0.06
232323,"total_weighted_overall","avg_func_cc_to_complexity_ratio",0.32
232323,"total_weighted_overall","max_token_count",0.12
232323,"total_weighted_overall","min_token_count",0.11
232323,"total_weighted_overall","avg_token_count",0.07
232323,"lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.2
232323,"lang_weighted_overall","max_token_count",0.11
232323,"lang_weighted_overall","avg_token_count",0.1
232323,"lang_weighted_overall","mm_comment_ratio",0.07
232323,"lang_weighted_overall","comment_count",0.06
232323,"lang_weighted_overall","avg_func_cc",0.06
232323,"total_and_lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.26
232323,"total_and_lang_weighted_overall","mm_fanout_external",0.1
232323,"total_and_lang_weighted_overall","min_token_count",0.09
232323,"total_and_lang_weighted_overall","avg_token_count",0.08
232323,"total_and_lang_weighted_overall","mm_comment_ratio",0.08
232323,"total_and_lang_weighted_overall","max_func_cc_to_complexity_ratio",0.07
232323,"total_and_lang_weighted_overall","max_token_count",0.06
123,"average_overall","avg_func_cc_to_complexity_ratio",0.19
123,"average_overall","avg_token_count",0.15
123,"average_overall","min_token_count",0.12
123,"average_overall","max_func_cc_to_complexity_ratio",0.06
123,"total_weighted_overall","avg_func_cc_to_complexity_ratio",0.27
123,"total_weighted_overall","min_token_count",0.15
123,"total_weighted_overall","avg_token_count",0.08
123,"total_weighted_overall","mm_tiobe_fanout",0.06
123,"lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.22
123,"lang_weighted_overall","min_token_count",0.14
123,"lang_weighted_overall","avg_token_count",0.11
123,"lang_weighted_overall","mm_fanout_external",0.06
123,"total_and_lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.27
123,"total_and_lang_weighted_overall","min_token_count",0.18
123,"total_and_lang_weighted_overall","mm_tiobe_fanout",0.08
123,"total_and_lang_weighted_overall","mm_comment_ratio",0.07
123,"total_and_lang_weighted_overall","mm_fanout_external",0.07
123,"total_and_lang_weighted_overall","avg_token_count",0.06
4567,"average_overall","avg_func_cc_to_complexity_ratio",0.19
4567,"average_overall","avg_token_count",0.13
4567,"average_overall","min_token_count",0.12
4567,"average_overall","mm_cyclomatic_complexity",0.06
4567,"average_overall","mm_fanout_external",0.06
4567,"average_overall","mm_tiobe",0.06
4567,"average_overall","max_func_cc_to_complexity_ratio",0.06
4567,"total_weighted_overall","avg_func_cc_to_complexity_ratio",0.24
4567,"total_weighted_overall","min_token_count",0.17
4567,"total_weighted_overall","mm_fanout_external",0.07
4567,"total_weighted_overall","avg_token_count",0.06
4567,"total_weighted_overall","mm_tiobe_fanout",0.06
4567,"lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.17
4567,"lang_weighted_overall","min_token_count",0.12
4567,"lang_weighted_overall","avg_token_count",0.12
4567,"lang_weighted_overall","mm_fanout_external",0.09
4567,"lang_weighted_overall","mm_tiobe",0.06
4567,"lang_weighted_overall","mm_tiobe_complexity",0.06
4567,"lang_weighted_overall","mm_tiobe_fanout",0.06
4567,"total_and_lang_weighted_overall","avg_func_cc_to_complexity_ratio",0.21
4567,"total_and_lang_weighted_overall","min_token_count",0.18
4567,"total_and_lang_weighted_overall","mm_fanout_external",0.09
4567,"total_and_lang_weighted_overall","mm_tiobe_fanout",0.09
4567,"total_and_lang_weighted_overall","avg_token_count",0.07
4567,"total_and_lang_weighted_overall","mm_comment_ratio",0.06

